order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
ITEM00000001,ORD00000001,PROD000178,2,117.94,47.99,187.89
ITEM00000002,ORD00000001,PROD000062,5,32.44,22.27,139.93
ITEM00000003,ORD00000002,PROD000247,1,429.88,0.0,429.88
ITEM00000004,ORD00000002,PROD000169,2,29.28,0.0,58.56
ITEM00000005,ORD00000002,PROD000043,4,66.31,0.0,265.24
ITEM00000006,ORD00000003,PROD000222,2,503.09,1.71,1004.47
ITEM00000007,ORD00000003,PROD000138,3,438.95,0.0,1316.85
ITEM00000008,ORD00000004,PROD000152,3,175.53,0.0,526.59
ITEM00000009,ORD00000004,PROD000089,3,345.97,2.66,1035.25
ITEM00000010,ORD00000004,PROD000021,3,208.43,0.0,625.29
ITEM00000011,ORD00000005,PROD000069,1,76.53,0.0,76.53
ITEM00000012,ORD00000005,PROD000091,2,288.59,0.0,577.18
ITEM00000013,ORD00000006,PROD000099,1,81.79,0.0,81.79
ITEM00000014,ORD00000006,PROD000050,1,1790.14,19.48,1770.66
ITEM00000015,ORD00000006,PROD000249,1,36.29,0.0,36.29
ITEM00000016,ORD00000007,PROD000066,1,180.97,0.0,180.97
ITEM00000017,ORD00000007,PROD000010,1,72.99,0.0,72.99
ITEM00000018,ORD00000007,PROD000155,3,54.33,0.0,162.99
ITEM00000019,ORD00000008,PROD000209,4,53.98,44.49,171.43
ITEM00000020,ORD00000008,PROD000019,3,207.86,0.0,623.58
ITEM00000021,ORD00000009,PROD000143,5,44.85,0.0,224.25
ITEM00000022,ORD00000009,PROD000204,5,35.5,0.0,177.5
ITEM00000023,ORD00000009,PROD000091,5,288.59,0.0,1442.95
ITEM00000024,ORD00000010,PROD000131,4,152.11,0.0,608.44
ITEM00000025,ORD00000010,PROD000001,4,212.26,0.0,849.04
ITEM00000026,ORD00000010,PROD000089,5,345.97,4.9,1724.95
ITEM00000027,ORD00000010,PROD000089,1,345.97,0.0,345.97
ITEM00000028,ORD00000011,PROD000140,2,98.75,48.4,149.1
ITEM00000029,ORD00000012,PROD000190,1,29.19,0.0,29.19
ITEM00000030,ORD00000012,PROD000021,4,208.43,17.93,815.79
ITEM00000031,ORD00000013,PROD000187,5,877.6,0.0,4388.0
ITEM00000032,ORD00000013,PROD000189,2,56.73,0.0,113.46
ITEM00000033,ORD00000014,PROD000207,5,75.14,0.0,375.7
ITEM00000034,ORD00000015,PROD000025,1,77.08,0.0,77.08
ITEM00000035,ORD00000015,PROD000083,1,171.9,0.0,171.9
ITEM00000036,ORD00000016,PROD000230,3,123.48,8.49,361.95
ITEM00000037,ORD00000016,PROD000214,3,421.22,0.0,1263.66
ITEM00000038,ORD00000016,PROD000116,1,43.88,0.0,43.88
ITEM00000039,ORD00000017,PROD000067,1,52.47,3.28,49.19
ITEM00000040,ORD00000017,PROD000070,1,84.14,16.64,67.5
ITEM00000041,ORD00000018,PROD000184,2,142.87,37.6,248.14
ITEM00000042,ORD00000018,PROD000205,4,47.4,0.0,189.6
ITEM00000043,ORD00000018,PROD000159,3,175.18,0.0,525.54
ITEM00000044,ORD00000019,PROD000101,4,85.71,15.46,327.38
ITEM00000045,ORD00000019,PROD000172,3,246.41,0.0,739.23
ITEM00000046,ORD00000019,PROD000094,1,396.07,0.0,396.07
ITEM00000047,ORD00000019,PROD000064,1,1678.91,0.0,1678.91
ITEM00000048,ORD00000020,PROD000155,4,54.33,4.25,213.07
ITEM00000049,ORD00000021,PROD000171,2,106.07,0.0,212.14
ITEM00000050,ORD00000021,PROD000030,1,68.0,11.12,56.88
ITEM00000051,ORD00000022,PROD000236,2,291.68,47.73,535.63
ITEM00000052,ORD00000023,PROD000102,4,126.65,0.0,506.6
ITEM00000053,ORD00000023,PROD000013,3,1700.94,0.0,5102.82
ITEM00000054,ORD00000023,PROD000166,5,322.84,0.0,1614.2
ITEM00000055,ORD00000024,PROD000126,2,45.99,0.0,91.98
ITEM00000056,ORD00000024,PROD000211,3,67.81,0.0,203.43
ITEM00000057,ORD00000025,PROD000122,4,222.72,0.0,890.88
ITEM00000058,ORD00000025,PROD000001,5,212.26,0.0,1061.3
ITEM00000059,ORD00000026,PROD000013,1,1700.94,39.73,1661.21
ITEM00000060,ORD00000026,PROD000073,2,276.11,0.0,552.22
ITEM00000061,ORD00000026,PROD000003,4,92.15,10.19,358.41
ITEM00000062,ORD00000027,PROD000151,1,121.06,0.0,121.06
ITEM00000063,ORD00000027,PROD000063,3,370.93,0.0,1112.79
