order_id,customer_id,order_timestamp,order_status,currency,subtotal_amount,tax_amount,shipping_amount,total_amount,payment_method
ORD00000001,CUST000921,2023-06-12 23:29:10,completed,USD,327.82,55.73,0.0,383.55,credit_card
ORD00000002,CUST000524,2026-01-21 13:32:49,completed,USD,753.68,135.66,0.0,889.34,credit_card
ORD00000003,CUST000633,2023-07-02 21:27:46,pending,USD,2321.32,417.84,0.0,2739.16,bank_transfer
ORD00000004,CUST000290,2023-06-27 02:41:45,completed,USD,2187.13,174.97,0.0,2362.1,credit_card
ORD00000005,CUST000804,2023-06-15 01:47:53,pending,USD,653.71,124.2,0.0,777.91,credit_card
ORD00000006,CUST000510,2023-11-05 14:05:03,pending,USD,1888.74,151.1,0.0,2039.84,paypal
ORD00000007,CUST000624,2023-11-07 07:11:48,pending,USD,416.95,66.71,0.0,483.66,credit_card
ORD00000008,CUST000797,2024-02-13 13:07:25,completed,USD,795.01,95.4,0.0,890.41,bank_transfer
ORD00000009,CUST000852,2025-03-23 16:18:01,completed,USD,1844.7,387.39,0.0,2232.09,credit_card
ORD00000010,CUST000997,2023-11-10 06:55:17,completed,USD,3528.4,670.4,0.0,4198.8,credit_card
ORD00000011,CUST000367,2025-12-28 18:01:22,completed,USD,149.1,26.84,0.0,175.94,debit_card
ORD00000012,CUST000420,2024-04-03 19:29:27,pending,USD,844.98,152.1,0.0,997.08,credit_card
ORD00000013,CUST000165,2023-03-03 05:09:04,completed,USD,4501.46,855.28,0.0,5356.74,bank_transfer
ORD00000014,CUST000562,2025-02-10 01:26:41,completed,USD,375.7,71.38,0.0,447.08,credit_card
ORD00000015,CUST000933,2023-11-19 15:23:34,completed,USD,248.98,29.88,0.0,278.86,credit_card
ORD00000016,CUST000705,2025-01-16 16:27:02,cancelled,USD,1669.49,350.59,0.0,2020.08,credit_card
ORD00000017,CUST000339,2023-12-31 06:59:24,completed,USD,116.69,22.17,4.99,143.85,credit_card
ORD00000018,CUST000003,2023-01-20 19:19:55,completed,USD,963.28,115.59,0.0,1078.87,debit_card
ORD00000019,CUST000688,2023-05-19 06:15:58,pending,USD,3141.59,596.9,0.0,3738.49,credit_card
