payment_id,order_id,payment_timestamp,payment_method,payment_status,payment_amount,currency
PAY00009224,ORD00008232,2023-01-01 00:41:12,debit_card,paid,645.87,USD
PAY00006146,ORD00005473,2023-01-01 03:01:53,credit_card,paid,7308.83,USD
PAY00016780,ORD00014984,2023-01-01 04:08:05,credit_card,paid,3360.68,USD
PAY00012746,ORD00011376,2023-01-01 04:10:09,credit_card,pending,798.22,USD
PAY00010566,ORD00009421,2023-01-01 05:11:50,paypal,paid,2390.56,USD
PAY00000128,ORD00000110,2023-01-01 07:31:38,debit_card,paid,2912.05,USD
PAY00010030,ORD00008952,2023-01-01 08:37:43,credit_card,pending,914.64,USD
PAY00001768,ORD00001586,2023-01-01 09:48:21,credit_card,paid,2429.47,USD
PAY00007023,ORD00006253,2023-01-01 10:21:14,credit_card,paid,1262.34,USD
PAY00009219,ORD00008227,2023-01-01 10:23:37,bank_transfer,paid,1011.12,USD
PAY00016135,ORD00014406,2023-01-01 11:11:54,debit_card,paid,3896.2,USD
PAY00010031,ORD00008952,2023-01-01 12:34:43,bank_transfer,failed,914.64,USD
PAY00012174,ORD00010870,2023-01-01 13:00:57,credit_card,pending,292.39,USD
PAY00000691,ORD00000609,2023-01-01 13:32:36,credit_card,paid,425.17,USD
PAY00012207,ORD00010897,2023-01-01 17:34:24,debit_card,paid,474.76,USD
PAY00000692,ORD00000609,2023-01-01 18:44:36,credit_card,pending,447.41,USD
PAY00011202,ORD00009989,2023-01-01 19:43:56,bank_transfer,paid,1852.46,USD
PAY00013625,ORD00012166,2023-01-01 21:47:58,credit_card,paid,150.52,USD
PAY00009356,ORD00008346,2023-01-01 22:26:29,debit_card,pending,2012.42,USD
PAY00009818,ORD00008763,2023-01-01 23:14:39,credit_card,paid,1177.89,USD
PAY00015896,ORD00014193,2023-01-01 23:38:16,credit_card,paid,500.14,USD
PAY00012208,ORD00010897,2023-01-02 01:21:24,credit_card,failed,474.76,USD
PAY00014445,ORD00012895,2023-01-02 02:10:28,credit_card,pending,228.63,USD
PAY00006052,ORD00005388,2023-01-02 02:18:29,credit_card,failed,3517.72,USD
PAY00013626,ORD00012166,2023-01-02 04:27:58,debit_card,paid,150.52,USD
PAY00001067,ORD00000953,2023-01-02 04:57:13,bank_transfer,paid,851.12,USD
PAY00011203,ORD00009989,2023-01-02 06:53:56,wallet,paid,1852.46,USD
PAY00002018,ORD00001803,2023-01-02 10:45:52,debit_card,paid,772.94,USD
PAY00005968,ORD00005316,2023-01-02 13:44:26,debit_card,paid,11938.26,USD
PAY00012790,ORD00011413,2023-01-02 16:09:26,debit_card,pending,483.38,USD
PAY00015268,ORD00013637,2023-01-02 18:16:37,paypal,paid,403.84,USD
PAY00013085,ORD00011681,2023-01-02 19:14:46,credit_card,paid,1911.2,USD
PAY00005183,ORD00004621,2023-01-02 22:23:39,credit_card,paid,2763.49,USD
PAY00000600,ORD00000528,2023-01-02 22:30:48,debit_card,paid,3247.1,USD
PAY00014859,ORD00013271,2023-01-02 22:51:30,debit_card,paid,391.79,USD
