shipment_id,order_id,shipment_timestamp,delivery_timestamp,shipment_status,carrier,shipping_country
SHP00000001,ORD00002161,2024-11-23 23:52:51,2024-11-30 23:52:51,delivered,Correos,MX
SHP00000002,ORD00010126,2023-05-05 04:44:49,2023-05-09 04:44:49,delivered,DHL,US
SHP00000003,ORD00006125,2024-09-25 22:06:25,2024-09-28 22:06:25,delivered,FedEx,BR
SHP00000004,ORD00013164,2025-09-09 02:21:24,2025-09-15 02:21:24,delivered,Servientrega,MX
SHP00000005,ORD00005799,2024-11-15 06:54:17,2024-11-23 06:54:17,delivered,DHL,CL
SHP00000006,ORD00005433,2025-05-18 12:38:30,2025-05-19 12:38:30,delivered,USPS,CL
SHP00000007,ORD00006995,2023-07-07 11:44:29,2023-07-11 11:44:29,delivered,USPS,US
SHP00000008,ORD00005638,2025-08-05 18:30:43,2025-08-12 18:30:43,delivered,Servientrega,AR
SHP00000009,ORD00007333,2023-06-06 07:12:24,2023-06-09 07:12:24,delivered,DHL,US
SHP00000010,ORD00013923,2023-11-04 04:59:31,,shipped,FedEx,CL
SHP00000011,ORD00008408,2025-02-28 15:01:42,,shipped,Servientrega,CO
SHP00000012,ORD00000495,2025-10-25 03:38:38,2025-11-01 03:38:38,delivered,Servientrega,CO
SHP00000013,ORD00003805,2025-09-27 20:56:42,2025-09-29 20:56:42,delivered,Correos,MX
SHP00000014,ORD00006888,2025-11-22 02:48:07,2025-11-30 02:48:07,delivered,FedEx,US
SHP00000015,ORD00009227,2025-07-06 09:34:21,2025-07-07 09:34:21,delivered,USPS,CO
SHP00000016,ORD00009503,2025-05-03 05:45:08,2025-05-09 05:45:08,delivered,Servientrega,MX
SHP00000017,ORD00000509,2024-06-17 04:42:39,2024-06-20 04:42:39,delivered,Correos,MX
SHP00000018,ORD00014814,2024-03-10 07:48:32,2024-03-17 07:48:32,delivered,FedEx,AR
SHP00000019,ORD00006657,2025-02-03 21:44:32,2025-02-04 21:44:32,delivered,Servientrega,ES
SHP00000020,ORD00005571,2025-06-10 15:03:22,2025-06-16 15:03:22,delivered,Correos,CL
SHP00000021,ORD00002226,2024-02-08 12:38:20,2024-02-16 12:38:20,delayed,Servientrega,CO
SHP00000022,ORD00008896,2024-02-05 16:36:01,2024-02-06 16:36:01,delivered,UPS,CL
SHP00000023,ORD00010003,2023-03-22 03:43:12,2023-03-26 03:43:12,delivered,Correos,BR
SHP00000024,ORD00001369,2025-05-06 06:02:58,,shipped,Servientrega,BR
SHP00000025,ORD00010686,2023-04-12 09:52:20,,shipped,FedEx,ES
SHP00000026,ORD00004244,2023-05-03 10:19:35,2023-05-09 10:19:35,delivered,DHL,MX
SHP00000027,ORD00001745,2024-06-10 04:25:47,,shipped,Servientrega,CL
SHP00000028,ORD00008644,2025-08-06 03:48:14,2025-08-12 03:48:14,delivered,FedEx,CA
SHP00000029,ORD00003745,2023-10-27 11:56:20,2023-10-29 11:56:20,delivered,FedEx,MX
SHP00000030,ORD00003091,2023-07-23 03:06:43,,shipped,USPS,CA
SHP00000031,ORD00001726,2024-11-06 22:04:14,,shipped,Correos,MX
SHP00000032,ORD00014477,2024-01-29 13:15:04,2024-02-01 13:15:04,delivered,Servientrega,CL
SHP00000033,ORD00006815,2023-11-19 14:14:26,2023-11-28 14:14:26,delayed,DHL,ES
SHP00000034,ORD00010401,2025-09-25 02:15:30,2025-09-26 02:15:30,delivered,UPS,CL
SHP00000035,ORD00012685,2025-12-27 06:33:22,2026-01-02 06:33:22,delivered,USPS,CA
SHP00000036,ORD00003523,2024-09-15 00:21:10,2024-09-18 00:21:10,delivered,Servientrega,BR
SHP00000037,ORD00008715,2024-02-04 07:30:26,2024-02-07 07:30:26,delivered,UPS,CL
SHP00000038,ORD00001432,2025-05-29 18:35:17,2025-06-05 18:35:17,delivered,FedEx,MX
SHP00000039,ORD00010530,2026-02-08 09:28:37,,shipped,Servientrega,CL
SHP00000040,ORD00011990,2023-10-21 12:20:35,2023-10-28 12:20:35,delivered,UPS,MX
SHP00000041,ORD00000808,2024-11-25 13:01:16,2024-11-30 13:01:16,delivered,FedEx,CL
SHP00000042,ORD00001295,2024-12-03 18:14:35,2024-12-04 18:14:35,delivered,USPS,AR
SHP00000043,ORD00010304,2024-05-09 16:40:08,2024-05-12 16:40:08,delivered,Servientrega,CO
SHP00000044,ORD00014946,2026-02-13 23:03:38,2026-02-19 23:03:38,delivered,Servientrega,AR
SHP00000045,ORD00008357,2024-04-05 01:37:46,2024-04-06 01:37:46,delivered,Correos,ES
SHP00000046,ORD00014623,2023-02-05 10:45:47,2023-02-13 10:45:47,delivered,FedEx,BR
SHP00000047,ORD00001516,2025-07-11 07:33:13,2025-07-17 07:33:13,delivered,FedEx,CL
SHP00000048,ORD00010575,2024-05-24 05:58:56,,shipped,FedEx,CL
SHP00000049,ORD00003966,2025-07-28 03:54:19,2025-08-01 03:54:19,delivered,DHL,AR
SHP00000050,ORD00006391,2023-09-25 17:45:19,2023-10-01 17:45:19,delivered,USPS,ES
SHP00000051,ORD00003189,2023-05-24 06:39:40,,shipped,FedEx,ES
SHP00000052,ORD00007988,2024-12-26 18:23:56,,shipped,Correos,AR
SHP00000053,ORD00001597,2024-11-06 09:47:54,,shipped,UPS,ES
SHP00000054,ORD00004443,2024-07-20 18:06:04,2024-07-22 18:06:04,delivered,Servientrega,BR
SHP00000055,ORD00014976,2023-10-29 11:35:18,2023-11-06 11:35:18,delayed,USPS,CO
SHP00000056,ORD00010046,2024-12-02 13:54:57,,shipped,DHL,MX
SHP00000057,ORD00006176,2023-01-22 08:57:32,2023-01-30 08:57:32,delivered,Correos,ES
SHP00000058,ORD00013300,2024-02-24 03:15:08,2024-02-27 03:15:08,delivered,DHL,MX
SHP00000059,ORD00008719,2023-10-18 02:19:51,2023-10-19 02:19:51,delivered,UPS,ES
SHP00000060,ORD00011680,2025-07-17 14:26:27,2025-07-18 14:26:27,delivered,USPS,CA
SHP00000061,ORD00009036,2025-08-17 03:16:24,2025-08-21 03:16:24,delivered,Correos,ES
SHP00000062,ORD00003955,2023-04-11 01:52:38,2023-04-17 01:52:38,delivered,FedEx,BR
SHP00000063,ORD00002144,2024-11-18 04:53:20,,shipped,FedEx,ES
